3 : wiRenderer Initialized  S:1679MBV: (1679,7) 
356 : Graphics Card Used: NVIDIA GeForce RTX 3060                                             S:320MB V: (1999,9)     
356 : initial setup                                                                           S:0MB   V: (1999,9)     
356 : splash screen                                                                           S:0MB   V: (1999,9)     
356 : authentication check                                                                    S:0MB   V: (1999,9)     
356 : C:\Program Files (x86)\Steam\steamapps\common\GameGuru MAX                              S:0MB   V: (1999,9)     
356 : particle editor exist check                                                             S:0MB   V: (1999,9)     
356 : particle editor exists!                                                                 S:0MB   V: (1999,9)     
356 : building editor exist check                                                             S:0MB   V: (1999,9)     
356 : building editor exists!                                                                 S:0MB   V: (1999,9)     
356 : GameGuru Steam version check                                                            S:2MB   V: (2002,9)     
489 : GameGuru MAX Steam version owned!                                                       S:-18MB V: (1983,9)     
491 : workshop_subscribetoalltrusteditems                                                     S:0MB   V: (1984,9)     
491 : WorkshopTrustedItems.ini                                                                S:0MB   V: (1984,9)     
502 : 2992375810                                                                              S:3MB   V: (1987,9)     
657 : GPUParticles::gpup_init();                                                              S:131MB V: (2119,46)    
788 : initial setup                                                                           S:9MB   V: (2129,47)    
788 : splash screen                                                                           S:0MB   V: (2129,47)    
806 : GGTerrain::GGTerrain_Init();                                                            S:11MB  V: (2140,47)    
2383 : GGTrees::GGTrees_Init();                                                               S:1502MBV: (3643,48)    
2731 : GGGrass::GGGrass_Init();                                                               S:186MB V: (3830,54)    
2846 : initial setup                                                                          S:89MB  V: (3919,54)    
2846 : splash screen                                                                          S:0MB   V: (3919,54)    
2851 : GuruMain();                                                                            S:1MB   V: (3921,56)    
23 : Startup ImGui.                                                                           S:0MB   V: (3931,817)   
107 : Name of true app: Guru-MapEditor                                                        S:12MB  V: (3944,817)   
108 : Flag to produce log files set in SETUP.INI (producelogfiles=1)                          S:0MB   V: (3944,817)   
127 : postprocessing flag at 0 and pixel shader version of 0.00                               S:-8MB  V: (3935,817)   
140 : The executable folder will be: C:\Users\RhythmicCarnage\Documents\GameGuruApps\GameGuruMAX\\MyGames\ S:1MB   V: (3937,817)   
152 : Entering 'Files' folder, now at: C:\Program Files (x86)\Steam\steamapps\common\GameGuru MAX\Files S:0MB   V: (3938,817)   
165 : set legacy convert mode                                                                 S:0MB   V: (3938,817)   
179 : _obs_memorychunkinit                                                                    S:0MB   V: (3938,817)   
196 : Guru-MapEditor                                                                          S:0MB   V: (3938,817)   
211 : detected map editor is in effect                                                        S:0MB   V: (3938,817)   
223 : setting display mode via DirectX                                                        S:0MB   V: (3938,817)   
239 : set camera aspect                                                                       S:0MB   V: (3938,817)   
250 : Special VR-Mode Flag: 0                                                                 S:-23MB V: (3914,817)   
263 : pixel states                                                                            S:0MB   V: (3914,817)   
273 : welcome_init(1)                                                                         S:-5MB  V: (3909,817)   
284 : IMG: languagebank\\artwork\welcome\animated-backdrop.png,65122,0,0                      S:2MB   V: (3911,817)   
294 : IMG: languagebank\\artwork\welcome-assets\splash-logo.bmp,65151,0,0                     S:1MB   V: (3913,817)   
306 : welcome_staticbackdrop();                                                               S:0MB   V: (3913,817)   
318 : welcome_init(2)                                                                         S:0MB   V: (3913,817)   
334 : IMG: languagebank\\artwork\welcome\welcome-page.png,65118,0,0                           S:2MB   V: (3915,817)   
346 : IMG: languagebank\\artwork\welcome-assets\product-logo.png,65119,0,0                    S:0MB   V: (3915,817)   
359 : IMG: languagebank\\artwork\welcome\animated-backdrop.png,65122,0,0                      S:3MB   V: (3919,817)   
371 : IMG: languagebank\\artwork\welcome\welcome-line-1.png,65141,0,0                         S:-8MB  V: (3910,817)   
384 : IMG: languagebank\\artwork\welcome\welcome-line-2.png,65142,0,0                         S:0MB   V: (3910,817)   
393 : IMG: languagebank\\artwork\welcome\welcome-line-3.png,65143,0,0                         S:0MB   V: (3910,817)   
402 : IMG: languagebank\\artwork\welcome\welcome-line-4.png,65144,0,0                         S:-5MB  V: (3905,817)   
412 : IMG: languagebank\\artwork\welcome\welcome-line-5.png,65145,0,0                         S:0MB   V: (3905,817)   
421 : IMG: languagebank\\artwork\welcome\welcome-line-6.png,65146,0,0                         S:0MB   V: (3905,817)   
433 : IMG: languagebank\\artwork\welcome\welcome-line-7.png,65147,0,0                         S:0MB   V: (3905,817)   
443 : IMG: languagebank\\artwork\welcome\welcome-line-8.png,65148,0,0                         S:0MB   V: (3905,817)   
454 : IMG: languagebank\\artwork\welcome\welcome-line-9.png,65149,0,0                         S:0MB   V: (3905,817)   
463 : LOADING FONTS                                                                           S:0MB   V: (3905,817)   
476 : initbitmapfont - startlegacy image loading                                              S:0MB   V: (3905,817)   
484 : initbitmapfont - deleting old images                                                    S:0MB   V: (3905,817)   
493 : initbitmapfont - first font load                                                        S:0MB   V: (3905,817)   
524 : initbitmapfont - first font shrink                                                      S:5MB   V: (3910,817)   
543 : initbitmapfont - remaining font loads                                                   S:0MB   V: (3911,817)   
670 : shrinkbitmapfont - new medium small size text                                           S:0MB   V: (3911,821)   
683 : initbitmapfont - finish legacy loading                                                  S:0MB   V: (3911,821)   
691 : Just about to read languagebank\english\textfiles\guru-wordcount.ini                    S:0MB   V: (3911,821)   
700 : Language File Path:C:\Program Files (x86)\Steam\steamapps\common\GameGuru MAX\Files\languagebank\english\textfiles (exist=1) S:-17MB V: (3893,821)   
723 : trueappname_s=Guru-MapEditor                                                            S:-2MB  V: (3891,821)   
733 : Create full path structure (0) for standalone executable                                S:0MB   V: (3891,821)   
759 : _mp_init:                                                                               S:0MB   V: (3891,821)   
767 : _material_init (0)                                                                      S:0MB   V: (3891,821)   
785 : We can write to the Game Guru folder!                                                   S:0MB   V: (3891,821)   
855 : ide input mode                                                                          S:-5MB  V: (3885,821)   
863 : choose VR system with mode 0                                                            S:0MB   V: (3885,821)   
871 : Error Choosing VR System : Code 1                                                       S:0MB   V: (3885,821)   
881 : switching VR off, headset not detected                                                  S:0MB   V: (3885,821)   
888 : sync states                                                                             S:0MB   V: (3885,821)   
896 : window states                                                                           S:0MB   V: (3885,821)   
905 : preload generic textures early                                                          S:0MB   V: (3885,821)   
912 : camera states                                                                           S:8MB   V: (3893,821)   
922 : memory states                                                                           S:1MB   V: (3894,821)   
1006 : pre widget init state                                                                  S:8MB   V: (3902,823)   
1014 : WIDGET INIT                                                                            S:0MB   V: (3902,823)   
1023 : widget status update                                                                   S:0MB   V: (3902,823)   
1113 : SLIDERS INIT                                                                           S:0MB   V: (3903,829)   
1120 : LOAD COMMON ASSETS                                                                     S:0MB   V: (3903,830)   
1129 : LOADING FONTS                                                                          S:0MB   V: (3903,830)   
1137 : initbitmapfont                                                                         S:0MB   V: (3903,830)   
1145 : initbitmapfont - startlegacy image loading                                             S:0MB   V: (3903,833)   
1154 : initbitmapfont - deleting old images                                                   S:8MB   V: (3912,833)   
1162 : initbitmapfont - first font load                                                       S:0MB   V: (3912,833)   
1183 : initbitmapfont - first font shrink                                                     S:0MB   V: (3912,842)   
